iter	MultiClass
0	1.15947324
1	0.9943081496
22	0.873426640633	0.77801011744	0.6964777973
5	0.6269254227
6	0.561694573277	0.508933585488	0.461484766999	0.4243251448110	0.39174854611111	0.3591497981112	0.3314176551113	0.3045285041114	0.282334841115	0.2611088572116	0.2418546171717	0.2264900018	18	0.2123596019	19	0.1976333420	20	0.185776421	021	0.175190122	222	0.165190423	023	0.15759924	024	0.149375225	025	0.14176426	0.26	0.13624827	0.227	0.1343028	0.128	0.1278329	0.120847723
30	0.1160976345
31	0.1118539136
32	0.1084253888
33	0.1033	0.107034	0.1005076465
35	0.0935	0.1003936	0.036	0.09767137	0.0936264937
38	0.09138353099
39	0.08872913487
40	0.08643156828
41	0.08510136839
42	0.08373128988
43	0.08181507959
44	0.044	0.07752645	0.045	0.07576346	0.046	0.07452347	0.047	0.07292248	0.048	0.0717949	0.0749	0.07050	0.070150	0.06951	0.069051	0.052	0.06714652	0.053	0.06637053	0.054	0.06484183321
55	0.06410079315
56	0.06329860991
57	0.0624157	0.0658	0.0609812111
59	0.06011366987
60	0.05813952525
61	0.05755957105
62	0.05660775362
63	0.05608844909
64	0.055664	0.05565	0.054665	0.05566	0.054366	0.05467	0.053367	0.05468	0.05259485818
69	0.05205621199
70	0.05168667009
71	0.05146676326
72	0.05101540584
73	0.05048452962
74	0.04997347686
75	0.0497118082
76	0.0476098003
77	0.04703376606
78	0.04596925496
79	0.04540834479
80	0.0447779993
81	0.04454363107
82	0.04417729022
83	0.04393125381
84	0.04337945101
85	0.04294039881
86	0.04266292047
87	0.04215927502
88	0.041788	0.0489	0.0416089	0.0490	0.0410890	0.0491	0.0409091	0.092	0.04012592	0.93	0.039684493	0.94	0.039348194	0.95	0.039072295	0.96	0.038516496	0.97	0.038294297	0.98	0.037241698	0.99	0.036935999	0.100	0.036646100	0.101	0.036458101	0.102	0.03622102	0.103	0.035843103	0.104	0.035671104	0.03633643759
105	0.03611530974
106	0.107	0.034379107	0108	0.0341215108	0109	0.0340267109	110	0.03373674110	0.03451638158
111	0.03429186767
112	0.03394299089
113	0.03345093238
114	115	0.0327935115	0116	0.0324689116	0.03248646042
117	0.03223353035
118	0.03212120035
119	0.03181910235
120	0.03173818898
121	0.03150425058
122	0.03106934706
123	0.03100582822
124	0.03080141295
125	0.03069492087
126	0.03024179992
127	0.03006200308
128	0.02979334657
129	0.02958955276
130	0.02928179892
131	0.02906810888
132	0.02890934367
133	0.02869904034
134	0.02845175363
135	0.02819580236
136	0.02798477953
137	0.02757003738
138	0.02745644378
139	0.02735017134
140	0.02698372882
141	0.02680405302
142	0.02671414355
143	0.02661846528
144	0.02635254415
145	0.0262277738
146	0.02608159138
147	0.02580933099
148	0.02562833857
149	0.02544141098
150	0.02513251251
151	0.0248974887
152	0.02472728831
153	0.02465297254
154	0.02454382129
155	0.02421437582
156	0.02406946477
157	0.02385253993
158	0.02376596975
159	0.02346830277
160	0.02337065871
161	0.02321323332
162	0.0230990545
163	0.02285724545
164	0.02265688835
165	0.02261005579
166	0.02250502277
167	0.02237531321
168	0.0222326516
169	0.02210118749
170	0.02204669759
171	0.02182333007
172	0.02166021925
173	0.02157023954
174	0.02137907923
175	0.02118631725
176	0.02107692876
177	0.02089493138
178	0.02056680987
179	0.0204363466
180	0.02018781442
181	0.02011535413
182	0.0200341468
183	0.01976924829
184	0.01963921139
185	0.01945563097
186	0.01926367188
187	0.0191051358
188	0.0189822445
189	0.0188657387
190	0.01878566092
191	0.01868080317
192	0.01864139396
193	0.01857830884
194	0.01844201988
195	0.01819700701
196	0.01808157228
197	0.01799283759
198	0.01783838038
199	0.01778690479
200	0.01764055575
201	0.01754124305
202	0.01738322308
203	0.0172750783
204	0.01715778867
205	0.01703719213
206	0.01691958045
207	0.01685275959
208	0.01674517256
209	0.01661344493
210	0.0164653824
211	0.016413346
212	0.01628440669
213	0.01612464703
214	0.01599651536
